run_id,run_family,seed,system,root_z_true,top_feature_key,top_feature_name,support_label,demandingness_label,beta_pres_true,beta_abs_true,beta_gap_true,realised_z_top,n_descendant_subfeatures,n_descendant_indicators,n_observed_ratings_desc,c_top_latent,c_oracle_subtree,delta_oracle_minus_top_latent,abs_delta,subtree_message_loglik_z0,subtree_message_loglik_z1
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,Chicken,0,Global Workspace Theory > Representationality,Representationality,weak support,strongly undemanding,0.9250177775636342,0.869159106691928,0.05585867087170626,1,4,8,12,0.06228675610397856,0.05611326954129936,-0.006173486562679201,0.006173486562679201,-26.791671575350193,-24.381278742027007
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,Chicken,0,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,weak support,moderately undemanding,0.8265237784608894,0.6298719913082595,0.19665178715262988,1,0,1,1,0.2717120765744194,0.18853726930926185,-0.08317480726515758,0.08317480726515758,-2.1228789727001147,-0.70089093027109
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,Chicken,0,Global Workspace Theory > Coherence,Coherence,strong support,strongly demanding,0.7979354739553153,0.10156225083779936,0.6963732231175159,0,4,13,25,-1.4920703384968867,-1.0669283581631888,0.425141980333698,0.425141980333698,-37.35895944402674,-39.322860710351264
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,Chicken,0,Global Workspace Theory > Modularity,Modularity,weak support,moderately demanding,0.560047800174686,0.2332959659893026,0.32675183418538345,0,0,6,12,-0.5554347678250722,-0.5553810276555211,5.37401695510642e-05,5.37401695510642e-05,-23.379999632827108,-33.17949498953271
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,Chicken,0,Global Workspace Theory > Complexity,Complexity,strong support,weakly undemanding,0.9205216626808573,0.3969036303573165,0.5236180323235409,0,5,8,15,-2.0265925029666034,-1.0849740278250444,0.941618475141559,0.941618475141559,-25.08691015115624,-26.93156746470848
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,Chicken,0,Global Workspace Theory > Selective Attention,Selective Attention,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,0,5,12,24,-1.761452064880101,-1.6851407101940055,0.07631135468609562,0.07631135468609562,-37.5765988519005,-41.92371787774724
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,Chicken,0,Global Workspace Theory > Integration,Integration,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,1,0,2,4,1.3883770330795024,1.136997209950109,-0.25137982312939355,0.25137982312939355,-7.273769571539814,-4.788103073793182
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,LLMs,1,Global Workspace Theory > Representationality,Representationality,weak support,strongly undemanding,0.9250177775636342,0.869159106691928,0.05585867087170626,1,4,8,30,0.06228675610397856,0.046379462066354904,-0.015907294037623657,0.015907294037623657,-48.99296564826242,-47.54559639713578
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,LLMs,1,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,weak support,moderately undemanding,0.8265237784608894,0.6298719913082595,0.19665178715262988,1,0,1,3,0.2717120765744194,-0.1845650692676184,-0.4562771458420378,0.4562771458420378,-5.281285071779179,-6.094507986385449
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,LLMs,1,Global Workspace Theory > Coherence,Coherence,strong support,strongly demanding,0.7979354739553153,0.10156225083779936,0.6963732231175159,1,4,13,48,2.061355815243681,-0.133989542001828,-2.195345357245509,2.195345357245509,-77.09669591991032,-77.29130388935432
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,LLMs,1,Global Workspace Theory > Modularity,Modularity,weak support,moderately demanding,0.560047800174686,0.2332959659893026,0.32675183418538345,0,0,6,24,-0.5554347678250722,-0.555431201209629,3.5666154432068e-06,3.5666154432068e-06,-36.24187834208314,-48.75395821389618
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,LLMs,1,Global Workspace Theory > Complexity,Complexity,strong support,weakly undemanding,0.9205216626808573,0.3969036303573165,0.5236180323235409,1,5,8,30,0.8412470274704257,0.25472122417808407,-0.5865258032923416,0.5865258032923416,-58.27038978058272,-57.733775732275035
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,LLMs,1,Global Workspace Theory > Selective Attention,Selective Attention,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,1,5,12,43,1.3883770330795024,-0.6005747146803628,-1.9889517477598653,1.9889517477598653,-69.75671059332117,-70.68435402274224
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,full_exact_recovery,20260506,LLMs,1,Global Workspace Theory > Integration,Integration,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,1,0,2,8,1.3883770330795024,1.3477994980138934,-0.040577535065609016,0.040577535065609016,-13.361642468786615,-8.933237219054257
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,Chicken,0,Global Workspace Theory > Representationality,Representationality,weak support,strongly undemanding,0.9250177775636342,0.869159106691928,0.05585867087170626,1,4,8,12,0.06228675610397856,0.06138097954775823,-0.0009057765562203307,0.0009057765562203307,-18.968157122528655,-14.629709073731766
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,Chicken,0,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,weak support,moderately undemanding,0.8265237784608894,0.6298719913082595,0.19665178715262988,1,0,1,1,0.2717120765744194,-0.26183549833107955,-0.533547574905499,0.533547574905499,-2.456410898625767,-3.5774705643261404
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,Chicken,0,Global Workspace Theory > Coherence,Coherence,strong support,strongly demanding,0.7979354739553153,0.10156225083779936,0.6963732231175159,0,4,13,25,-1.4920703384968867,-0.8469578513731051,0.6451124871237817,0.6451124871237817,-49.536357122736504,-50.9521784665409
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,Chicken,0,Global Workspace Theory > Modularity,Modularity,weak support,moderately demanding,0.560047800174686,0.2332959659893026,0.32675183418538345,1,0,6,12,0.8757142497507894,0.8750736155682652,-0.0006406341825241357,0.0006406341825241357,-23.68221630374495,-15.41305977665836
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,Chicken,0,Global Workspace Theory > Complexity,Complexity,strong support,weakly undemanding,0.9205216626808573,0.3969036303573165,0.5236180323235409,0,5,8,15,-2.0265925029666034,-1.4838776740337387,0.5427148289328647,0.5427148289328647,-26.498097874156848,-29.172238088750987
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,Chicken,0,Global Workspace Theory > Selective Attention,Selective Attention,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,0,5,12,24,-1.761452064880101,-1.3198050183204941,0.44164704655960696,0.44164704655960696,-38.37657932978192,-40.755848637340655
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,Chicken,0,Global Workspace Theory > Integration,Integration,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,0,0,2,4,-1.761452064880101,-1.681120223543271,0.08033184133683013,0.08033184133683013,-5.082198727770801,-9.375741531301752
